Indicator,Dimension1_Type,Dimension1,Dimension2_Type,Dimension2,Value,Unit,Notes
Report title,Metadata,-,Age group,Overall,Labor Market Situation in Morocco - Information Note,text,
Reference period,Metadata,-,Age group,Overall,Q1 2026,text,
Source,Metadata,-,Age group,Overall,"New Labour Force Survey (ENE 2026), Haut-Commissariat au Plan (HCP)",text,
Annual sample size (new survey),Metadata,-,Age group,Overall,135000,households,
Annual sample size (previous survey),Metadata,-,Age group,Overall,90000,households,
Working-age population (15+),National,Total,Age group,Overall,27775000,persons,
Labor force,National,Total,Age group,Overall,11617000,persons,
Labor force participation rate,National,Total,Age group,Overall,41.8,%,
Unemployed (narrow definition),National,Total,Age group,Overall,1253000,persons,
Unemployment rate (narrow definition),National,Total,Age group,Overall,10.8,%,
Population outside the labor force,National,Total,Age group,Overall,16158000,persons,
Share of population outside the labor force (of working-age population),National,Total,Age group,Overall,58.2,%,
Potential labor force,National,Total,Age group,Overall,884000,persons,
Potential labor force share (of population outside the labor force),National,Total,Age group,Overall,5.5,%,
Employed for income,National,Total,Age group,Overall,10364000,persons,
Employment rate (paid work),National,Total,Age group,Overall,37.3,%,
Time-related underemployment (persons),National,Total,Age group,Overall,671000,persons,
Time-related underemployment share (of employed for income),National,Total,Age group,Overall,6.5,%,
Feminization rate of the labor force,National,Total,Age group,Overall,21.0,%,
Composite rate SU2 (unemployment + time-related underemployment),National,Total,Age group,Overall,16.6,%,
Composite rate SU3 (unemployment + potential labor force),National,Total,Age group,Overall,17.1,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),National,Total,Age group,Overall,22.5,%,
Working-age population (thousand),Residence,Urban,Breakdown,Overall,18022,thousand persons,
Working-age population (thousand),Residence,Rural,Breakdown,Overall,9753,thousand persons,
Working-age population (thousand),Residence,National,Breakdown,Overall,27775,thousand persons,
Labor force (thousand),Residence,Urban,Breakdown,Overall,7394,thousand persons,
Labor force (thousand),Residence,Rural,Breakdown,Overall,4224,thousand persons,
Labor force (thousand),Residence,National,Breakdown,Overall,11617,thousand persons,
Feminization rate,Residence,Urban,Breakdown,Overall,23.1,%,
Feminization rate,Residence,Rural,Breakdown,Overall,17.3,%,
Feminization rate,Residence,National,Breakdown,Overall,21.0,%,
Employed for income (thousand),Residence,Urban,Breakdown,Overall,6397,thousand persons,
Employed for income (thousand),Residence,Rural,Breakdown,Overall,3967,thousand persons,
Employed for income (thousand),Residence,National,Breakdown,Overall,10364,thousand persons,
"Unemployed, narrow definition (thousand)",Residence,Urban,Breakdown,Overall,997,thousand persons,
"Unemployed, narrow definition (thousand)",Residence,Rural,Breakdown,Overall,256,thousand persons,
"Unemployed, narrow definition (thousand)",Residence,National,Breakdown,Overall,1253,thousand persons,
Population outside the labor force (thousand),Residence,Urban,Breakdown,Overall,10628,thousand persons,
Population outside the labor force (thousand),Residence,Rural,Breakdown,Overall,5530,thousand persons,
Population outside the labor force (thousand),Residence,National,Breakdown,Overall,16158,thousand persons,
Of which: potential labor force (thousand),Residence,Urban,Breakdown,Overall,640,thousand persons,
Of which: potential labor force (thousand),Residence,Rural,Breakdown,Overall,244,thousand persons,
Of which: potential labor force (thousand),Residence,National,Breakdown,Overall,884,thousand persons,
Participation rate,Residence,Urban,Overall,Overall,41.0,%,
Participation rate,Residence,Rural,Overall,Overall,43.3,%,
Participation rate,Residence,National,Overall,Overall,41.8,%,
Participation rate,Residence,Urban,Gender,Male,64.4,%,
Participation rate,Residence,Rural,Gender,Male,69.8,%,
Participation rate,Residence,National,Gender,Male,66.4,%,
Participation rate,Residence,Urban,Gender,Female,18.6,%,
Participation rate,Residence,Rural,Gender,Female,15.4,%,
Participation rate,Residence,National,Gender,Female,17.5,%,
Participation rate,Residence,Urban,Age group,15-24,23.4,%,
Participation rate,Residence,Rural,Age group,15-24,26.5,%,
Participation rate,Residence,National,Age group,15-24,21.6,%,
Participation rate,Residence,Urban,Age group,25-34,57.2,%,
Participation rate,Residence,Rural,Age group,25-34,55.7,%,
Participation rate,Residence,National,Age group,25-34,56.7,%,
Participation rate,Residence,Urban,Age group,35-44,57.0,%,
Participation rate,Residence,Rural,Age group,35-44,55.5,%,
Participation rate,Residence,National,Age group,35-44,56.5,%,
Participation rate,Residence,Urban,Age group,45+,35.9,%,
Participation rate,Residence,Rural,Age group,45+,41.9,%,
Participation rate,Residence,National,Age group,45+,38.0,%,
Employment rate (paid work),Residence,Urban,Overall,Overall,35.5,%,
Employment rate (paid work),Residence,Rural,Overall,Overall,40.7,%,
Employment rate (paid work),Residence,National,Overall,Overall,37.3,%,
Employment rate (paid work),Residence,Urban,Gender,Male,56.9,%,
Employment rate (paid work),Residence,Rural,Gender,Male,65.7,%,
Employment rate (paid work),Residence,National,Gender,Male,60.1,%,
Employment rate (paid work),Residence,Urban,Gender,Female,14.9,%,
Employment rate (paid work),Residence,Rural,Gender,Female,14.2,%,
Employment rate (paid work),Residence,National,Gender,Female,14.7,%,
Employment rate (paid work),Residence,Urban,Age group,15-24,13.4,%,
Employment rate (paid work),Residence,Rural,Age group,15-24,21.9,%,
Employment rate (paid work),Residence,National,Age group,15-24,16.6,%,
Employment rate (paid work),Residence,Urban,Age group,25-34,45.5,%,
Employment rate (paid work),Residence,Rural,Age group,25-34,51.8,%,
Employment rate (paid work),Residence,National,Age group,25-34,47.6,%,
Employment rate (paid work),Residence,Urban,Age group,35-44,52.6,%,
Employment rate (paid work),Residence,Rural,Age group,35-44,53.2,%,
Employment rate (paid work),Residence,National,Age group,35-44,52.8,%,
Employment rate (paid work),Residence,Urban,Age group,45+,34.1,%,
Employment rate (paid work),Residence,Rural,Age group,45+,40.8,%,
Employment rate (paid work),Residence,National,Age group,45+,36.4,%,
Unemployment rate (narrow definition),Residence,Urban,Overall,Overall,13.5,%,
Unemployment rate (narrow definition),Residence,Rural,Overall,Overall,6.1,%,
Unemployment rate (narrow definition),Residence,National,Overall,Overall,10.8,%,
Unemployment rate (narrow definition),Residence,Urban,Gender,Male,11.6,%,
Unemployment rate (narrow definition),Residence,Rural,Gender,Male,5.8,%,
Unemployment rate (narrow definition),Residence,National,Gender,Male,9.4,%,
Unemployment rate (narrow definition),Residence,Urban,Gender,Female,19.8,%,
Unemployment rate (narrow definition),Residence,Rural,Gender,Female,7.3,%,
Unemployment rate (narrow definition),Residence,National,Gender,Female,16.1,%,
Unemployment rate (narrow definition),Residence,Urban,Age group,15-24,38.0,%,
Unemployment rate (narrow definition),Residence,Rural,Age group,15-24,17.2,%,
Unemployment rate (narrow definition),Residence,National,Age group,15-24,29.2,%,
Unemployment rate (narrow definition),Residence,Urban,Age group,25-34,20.5,%,
Unemployment rate (narrow definition),Residence,Rural,Age group,25-34,6.9,%,
Unemployment rate (narrow definition),Residence,National,Age group,25-34,16.1,%,
Unemployment rate (narrow definition),Residence,Urban,Age group,35-44,7.7,%,
Unemployment rate (narrow definition),Residence,Rural,Age group,35-44,4.1,%,
Unemployment rate (narrow definition),Residence,National,Age group,35-44,6.5,%,
Unemployment rate (narrow definition),Residence,Urban,Age group,45+,5.1,%,
Unemployment rate (narrow definition),Residence,Rural,Age group,45+,2.8,%,
Unemployment rate (narrow definition),Residence,National,Age group,45+,4.2,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Overall,Overall,18.3,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Overall,Overall,13.6,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Overall,Overall,16.6,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Gender,Male,16.6,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Gender,Male,14.3,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Gender,Male,15.7,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Gender,Female,23.9,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Gender,Female,10.2,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Gender,Female,19.8,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Age group,15-24,41.8,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Age group,15-24,25.7,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Age group,15-24,35.0,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Age group,25-34,25.0,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Age group,25-34,16.1,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Age group,25-34,22.1,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Age group,35-44,13.2,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Age group,35-44,13.3,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Age group,35-44,13.2,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Urban,Age group,45+,9.9,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,Rural,Age group,45+,7.9,%,
Composite rate SU2 (unemployment + time-related underemployment),Residence,National,Age group,45+,9.2,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Overall,Overall,20.4,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Overall,Overall,11.2,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Overall,Overall,17.1,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Gender,Male,16.4,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Gender,Male,9.8,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Gender,Male,13.9,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Gender,Female,32.2,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Gender,Female,17.4,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Gender,Female,27.9,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Age group,15-24,49.6,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Age group,15-24,26.9,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Age group,15-24,40.4,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Age group,25-34,27.6,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Age group,25-34,11.8,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Age group,25-34,22.6,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Age group,35-44,13.5,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Age group,35-44,8.6,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Age group,35-44,11.8,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Urban,Age group,45+,9.5,%,
Composite rate SU3 (unemployment + potential labor force),Residence,Rural,Age group,45+,6.4,%,
Composite rate SU3 (unemployment + potential labor force),Residence,National,Age group,45+,8.3,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Overall,Overall,24.8,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Overall,Overall,18.3,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Overall,Overall,22.5,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Gender,Male,21.1,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Gender,Male,17.9,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Gender,Male,19.9,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Gender,Female,35.6,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Gender,Female,20.0,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Gender,Female,31.1,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Age group,15-24,52.7,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Age group,15-24,34.4,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Age group,15-24,45.3,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Age group,25-34,31.7,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Age group,25-34,20.5,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Age group,25-34,28.2,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Age group,35-44,18.6,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Age group,35-44,17.3,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Age group,35-44,18.2,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Urban,Age group,45+,14.1,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,Rural,Age group,45+,11.3,%,
Composite rate SU4 (unemployment + underemployment + potential labor force),Residence,National,Age group,45+,13.1,%,
Participation rate,Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,46.4,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,43.0,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,7.3,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,13.5,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,11.8,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Tanger-Tetouan-Al Hoceima,17.6,%,
Participation rate,Setting,Combined (urban+rural),Region,Oriental,37.0,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Oriental,31.5,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Oriental,14.9,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Oriental,22.9,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Oriental,22.2,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Oriental,29.5,%,
Participation rate,Setting,Combined (urban+rural),Region,Fes-Meknes,38.5,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Fes-Meknes,33.1,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Fes-Meknes,14.2,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Fes-Meknes,21.6,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Fes-Meknes,25.1,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Fes-Meknes,31.5,%,
Participation rate,Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,42.6,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,37.9,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,10.9,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,13.3,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,16.9,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Rabat-Sale-Kenitra,19.1,%,
Participation rate,Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,39.3,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,35.2,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,10.3,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,17.1,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,15.0,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Beni Mellal-Khenifra,21.5,%,
Participation rate,Setting,Combined (urban+rural),Region,Casablanca-Settat,45.6,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Casablanca-Settat,39.8,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Casablanca-Settat,12.7,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Casablanca-Settat,19.8,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Casablanca-Settat,18.4,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Casablanca-Settat,25.1,%,
Participation rate,Setting,Combined (urban+rural),Region,Marrakech-Safi,42.2,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Marrakech-Safi,39.2,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Marrakech-Safi,7.0,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Marrakech-Safi,12.6,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Marrakech-Safi,11.7,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Marrakech-Safi,17.0,%,
Participation rate,Setting,Combined (urban+rural),Region,Draa-Tafilalet,31.1,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Draa-Tafilalet,28.2,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Draa-Tafilalet,9.4,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Draa-Tafilalet,16.7,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Draa-Tafilalet,15.3,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Draa-Tafilalet,22.2,%,
Participation rate,Setting,Combined (urban+rural),Region,Souss-Massa,38.8,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Souss-Massa,35.6,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Souss-Massa,8.2,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Souss-Massa,11.3,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Souss-Massa,13.2,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Souss-Massa,16.1,%,
Participation rate,Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,37.2,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,31.7,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,14.8,%,
Composite rate SU2,Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,23.4,%,
Composite rate SU3,Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,31.7,%,
Composite rate SU4,Setting,Combined (urban+rural),Region,Guelmim-Oued Noun,38.6,%,
Participation rate,Setting,Combined (urban+rural),Region,Laayoune-Sakia El Hamra,43.1,%,
Employment rate (paid work),Setting,Combined (urban+rural),Region,Laayoune-Sakia El Hamra,34.4,%,
Unemployment rate (narrow definition),Setting,Combined (urban+rural),Region,Laayoune-Sakia El Hamra,20.3,%,
Composite rate SU2,Setting,Combined (urban+,Age group,Overall,16.1,%,
